Timestamp,HR_BPM,RMSSD_MS,Cadence_SPM,State,Trend,Status,Battery_V
10:59:30.583,103,2.1303665267886505,0,Ch 3 - Lvl 1,C3-Ex 1: Flexibility,OK,
10:59:31.584,103,2.0701966780270626,0,Ch 3 - Lvl 1,C3-Ex 1: Flexibility,OK,
10:59:32.584,103,2.1360009363293826,0,Ch 3 - Lvl 1,C3-Ex 1: Flexibility,OK,
10:59:33.585,104,2.086370335408023,0,Ch 3 - Lvl 1,C3-Ex 1: Flexibility,OK,
10:59:34.586,104,2.2941573387056176,0,Ch 3 - Lvl 1,C3-Ex 1: Flexibility,OK,
10:59:35.587,104,2.2677868380553634,0,Ch 3 - Lvl 1,C3-Ex 1: Flexibility,OK,
10:59:36.587,104,2.245768968720862,0,Ch 3 - Lvl 1,C3-Ex 1: Flexibility,OK,
10:59:37.588,104,2.244994432064365,0,Ch 3 - Lvl 1,C3-Ex 1: Flexibility,OK,
10:59:38.589,104,2.27866357593825,0,Ch 3 - Lvl 1,C3-Ex 1: Flexibility,OK,
10:59:39.589,103,2.211980366743146,0,Ch 3 - Lvl 1,C3-Ex 1: Flexibility,OK,
10:59:40.590,103,2.181426297094443,0,Ch 3 - Lvl 1,C3-Ex 1: Flexibility,OK,
10:59:41.590,103,2.084425001338954,0,Ch 3 - Lvl 1,C3-Ex 1: Flexibility,OK,
10:59:42.591,104,2.1172526114494827,0,Ch 3 - Lvl 1,C3-Ex 1: Flexibility,OK,
10:59:43.591,104,2.0426487199475707,0,Ch 3 - Lvl 1,C3-Ex 1: Flexibility,OK,
10:59:44.592,104,1.96521473776207,0,Ch 3 - Lvl 1,C3-Ex 1: Flexibility,OK,
10:59:45.592,104,2.1735082081819894,0,Ch 3 - Lvl 1,C3-Ex 1: Flexibility,OK,
10:59:46.593,104,2.1172526114494827,0,Ch 3 - Lvl 1,C3-Ex 1: Flexibility,OK,
10:59:47.593,103,2.2667004730406615,0,Ch 3 - Lvl 1,C3-Ex 1: Flexibility,OK,
10:59:48.594,102,2.2590812902288553,0,Ch 3 - Lvl 1,C3-Ex 1: Flexibility,OK,
10:59:49.595,102,2.37806064131954,0,Ch 3 - Lvl 1,C3-Ex 1: Flexibility,OK,
10:59:50.595,102,2.2205932726995776,0,Ch 3 - Lvl 1,C3-Ex 1: Flexibility,OK,
10:59:51.595,102,2.243765308275509,0,Ch 3 - Lvl 1,C3-Ex 1: Flexibility,OK,
10:59:52.596,103,2.189315748875859,0,Ch 3 - Lvl 1,C3-Ex 1: Flexibility,OK,
10:59:53.596,103,2.1575848566842284,0,Ch 3 - Lvl 1,C3-Ex 1: Flexibility,OK,
10:59:54.597,103,2.084425001338954,0,Ch 3 - Lvl 1,C3-Ex 1: Flexibility,OK,
10:59:55.597,103,2.109093611499728,0,Ch 3 - Lvl 1,C3-Ex 1: Flexibility,OK,
10:59:56.598,103,2.109093611499728,0,Ch 3 - Lvl 1,C3-Ex 1: Flexibility,OK,
